Phrase,Year,MatchCount,VolumeCount,Phrase
Auswanderung,1901,14,10,Auswanderung
Auswanderung,1902,10,6,Auswanderung
Auswanderung,1903,37,16,Auswanderung
Auswanderung,1904,18,7,Auswanderung
Auswanderung,1905,15,10,Auswanderung
Auswanderung,1906,13,9,Auswanderung
Auswanderung,1907,16,12,Auswanderung
Auswanderung,1908,21,12,Auswanderung
Auswanderung,1909,202,19,Auswanderung
Auswanderung,1910,131,6,Auswanderung
Auswanderung,1911,7,6,Auswanderung
Auswanderung,1912,318,16,Auswanderung
Auswanderung,1913,41,18,Auswanderung
Auswanderung,1914,79,34,Auswanderung
Auswanderung,1915,9,8,Auswanderung
Auswanderung,1916,26,25,Auswanderung
Auswanderung,1917,29,20,Auswanderung
Auswanderung,1918,20,13,Auswanderung
Auswanderung,1919,13,10,Auswanderung
Auswanderung,1920,29,12,Auswanderung
Auswanderung,1921,37,15,Auswanderung
Auswanderung,1922,62,28,Auswanderung
Auswanderung,1923,14,10,Auswanderung
Auswanderung,1924,106,10,Auswanderung
Auswanderung,1925,18,11,Auswanderung
Auswanderung,1926,39,15,Auswanderung
Auswanderung,1927,62,7,Auswanderung
Auswanderung,1928,14,13,Auswanderung
Auswanderung,1929,6,5,Auswanderung
Auswanderung,1930,52,18,Auswanderung
Auswanderung,1931,13,11,Auswanderung
Auswanderung,1932,13,9,Auswanderung
Auswanderung,1933,23,14,Auswanderung
Auswanderung,1934,18,9,Auswanderung
Auswanderung,1935,27,12,Auswanderung
Auswanderung,1936,45,13,Auswanderung
Auswanderung,1937,69,20,Auswanderung
Auswanderung,1938,34,21,Auswanderung
Auswanderung,1939,59,21,Auswanderung
Auswanderung,1940,52,14,Auswanderung
Auswanderung,1941,21,17,Auswanderung
Auswanderung,1942,19,14,Auswanderung
Auswanderung,1943,10,7,Auswanderung
Auswanderung,1944,19,8,Auswanderung
Auswanderung,1945,23,15,Auswanderung
Auswanderung,1946,21,14,Auswanderung
Auswanderung,1947,27,10,Auswanderung
Auswanderung,1948,40,14,Auswanderung
Auswanderung,1949,97,27,Auswanderung
Auswanderung,1950,5,3,Auswanderung
Auswanderung,1951,53,13,Auswanderung
Auswanderung,1952,39,15,Auswanderung
Auswanderung,1953,216,27,Auswanderung
Auswanderung,1954,42,19,Auswanderung
Auswanderung,1955,61,24,Auswanderung
Auswanderung,1956,32,18,Auswanderung
Auswanderung,1957,24,21,Auswanderung
Auswanderung,1958,16,15,Auswanderung
Auswanderung,1959,30,20,Auswanderung
Auswanderung,1960,65,27,Auswanderung
Auswanderung,1961,97,31,Auswanderung
Auswanderung,1962,31,18,Auswanderung
Auswanderung,1963,67,35,Auswanderung
Auswanderung,1964,1160,39,Auswanderung
Auswanderung,1965,91,41,Auswanderung
Auswanderung,1966,196,57,Auswanderung
Auswanderung,1967,230,73,Auswanderung
Auswanderung,1968,86,47,Auswanderung
Auswanderung,1969,328,98,Auswanderung
Auswanderung,1970,135,53,Auswanderung
Auswanderung,1971,88,36,Auswanderung
Auswanderung,1972,80,55,Auswanderung
Auswanderung,1973,148,73,Auswanderung
Auswanderung,1974,238,44,Auswanderung
Auswanderung,1975,133,43,Auswanderung
Auswanderung,1976,227,60,Auswanderung
Auswanderung,1977,180,55,Auswanderung
Auswanderung,1978,248,51,Auswanderung
Auswanderung,1979,220,58,Auswanderung
Auswanderung,1980,164,43,Auswanderung
Auswanderung,1981,92,50,Auswanderung
Auswanderung,1982,184,59,Auswanderung
Auswanderung,1983,136,58,Auswanderung
Auswanderung,1984,90,55,Auswanderung
Auswanderung,1985,281,75,Auswanderung
Auswanderung,1986,515,54,Auswanderung
Auswanderung,1987,192,73,Auswanderung
Auswanderung,1988,161,58,Auswanderung
Auswanderung,1989,520,87,Auswanderung
Auswanderung,1990,209,81,Auswanderung
Auswanderung,1991,300,84,Auswanderung
Auswanderung,1992,267,72,Auswanderung
Auswanderung,1993,166,66,Auswanderung
Auswanderung,1994,184,59,Auswanderung
Auswanderung,1995,265,64,Auswanderung
Auswanderung,1996,469,98,Auswanderung
Auswanderung,1997,193,78,Auswanderung
Auswanderung,1998,421,92,Auswanderung
Auswanderung,1999,328,96,Auswanderung
Auswanderung,2000,286,87,Auswanderung
Auswanderung,2001,439,97,Auswanderung
Auswanderung,2002,293,105,Auswanderung
Auswanderung,2003,434,127,Auswanderung
Auswanderung,2004,322,90,Auswanderung
Auswanderung,2005,288,100,Auswanderung
Auswanderung,2006,510,125,Auswanderung
Auswanderung,2007,301,123,Auswanderung
Auswanderung,2008,568,140,Auswanderung
Autoloading,1906,5,2,Autoloading
Autoloading,1907,1,1,Autoloading
Autoloading,1908,1,1,Autoloading
Autoloading,1909,3,2,Autoloading
Autoloading,1910,6,2,Autoloading
Autoloading,1912,5,3,Autoloading
Autoloading,1913,1,1,Autoloading
Autoloading,1914,1,1,Autoloading
Autoloading,1915,4,2,Autoloading
Autoloading,1916,6,2,Autoloading
Autoloading,1917,7,3,Autoloading
Autoloading,1918,11,8,Autoloading
Autoloading,1919,14,6,Autoloading
Autoloading,1920,4,4,Autoloading
Autoloading,1922,8,1,Autoloading
Autoloading,1923,4,1,Autoloading
Autoloading,1924,4,1,Autoloading
Autoloading,1931,2,2,Autoloading
Autoloading,1934,1,1,Autoloading
Autoloading,1935,5,2,Autoloading
Autoloading,1937,4,1,Autoloading
Autoloading,1941,7,2,Autoloading
Autoloading,1942,5,2,Autoloading
Autoloading,1943,1,1,Autoloading
Autoloading,1944,1,1,Autoloading
Autoloading,1947,12,2,Autoloading
Autoloading,1948,12,2,Autoloading
Autoloading,1949,4,1,Autoloading
Autoloading,1950,1,1,Autoloading
Autoloading,1952,1,1,Autoloading
Autoloading,1955,8,4,Autoloading
Autoloading,1956,18,3,Autoloading
Autoloading,1959,1,1,Autoloading
Autoloading,1960,7,2,Autoloading
Autoloading,1961,3,2,Autoloading
Autoloading,1962,16,7,Autoloading
Autoloading,1963,10,2,Autoloading
Autoloading,1964,2,1,Autoloading
Autoloading,1965,4,3,Autoloading
Autoloading,1967,1,1,Autoloading
Autoloading,1968,6,3,Autoloading
Autoloading,1970,4,3,Autoloading
Autoloading,1972,1,1,Autoloading
Autoloading,1973,7,5,Autoloading
Autoloading,1974,15,6,Autoloading
Autoloading,1975,1,1,Autoloading
Autoloading,1976,14,5,Autoloading
Autoloading,1977,8,3,Autoloading
Autoloading,1978,22,5,Autoloading
Autoloading,1979,9,9,Autoloading
Autoloading,1980,9,3,Autoloading
Autoloading,1981,18,5,Autoloading
Autoloading,1982,5,3,Autoloading
Autoloading,1983,81,5,Autoloading
Autoloading,1984,2,2,Autoloading
Autoloading,1985,4,4,Autoloading
Autoloading,1986,8,7,Autoloading
Autoloading,1987,33,7,Autoloading
Autoloading,1988,42,11,Autoloading
Autoloading,1989,10,7,Autoloading
Autoloading,1990,108,10,Autoloading
Autoloading,1991,17,9,Autoloading
Autoloading,1992,2,2,Autoloading
Autoloading,1993,20,14,Autoloading
Autoloading,1994,31,11,Autoloading
Autoloading,1995,33,13,Autoloading
Autoloading,1996,36,16,Autoloading
Autoloading,1997,25,13,Autoloading
Autoloading,1998,12,4,Autoloading
Autoloading,1999,14,9,Autoloading
Autoloading,2000,62,21,Autoloading
Autoloading,2001,11,6,Autoloading
Autoloading,2002,36,14,Autoloading
Autoloading,2003,13,8,Autoloading
Autoloading,2004,23,11,Autoloading
Autoloading,2005,126,15,Autoloading
Autoloading,2006,30,14,Autoloading
Autoloading,2007,72,17,Autoloading
Autoloading,2008,53,14,Autoloading
